NAME	ALTERNATIVENAMES	SHORTDESCRIPTION	DATEOFBIRTH	PLACEOFBIRTH	DATEOFDEATH	PLACEOFDEATH	LATITUDE	LONGITUDE
Alfasi, Isaac	 	Talmudist and posek (decider in matters of halakha - Jewish law)	1013	Fes	1103		50.14318	35.96076
Alfonso 06 Of Leon And Castile	 	King of León and Castile	1040	Santiago de Compostela|Compostela	July 1, 1109	Toledo, Spain|Toledo	42.89766	-8.41793
Alfonso 07 Of Leon And Castile	Alfonso Raimúndez	Castilian monarch	1 March 1105	Caldas de Reis	21 August 1157	Sierra Morena	42.5	1.58333
Alfonso 11 Of Castile	 	King of Castile	13 August 1311	Salamanca	27 March 1350	Gibraltar	16.28083	-89.0225
Alfonso I of Asturias	 	Asturian king	693	Cantabria	757	Cangas de Onís, Asturias	45.06667	-7.98333
Alfonso II of Aragon	 	Aragonese monarch	1157	Huesca	25 April 1196	Perpignan	42.13314	-0.40965
Alfonso IV of Aragon	Alfonso the Kind (nickname); Alfons el Benigne (Catalan)	King of Aragon, Valencia, Sicily, Sardinia and Corsica (1327–1336)	1299	Naples	24 January 1336	Barcelona	34.97785	-97.7142
Alfonso IX of León	 	King of León and Galicia	15 August 1171	Zamora, Spain|Zamora	24 September 1230	Villanueva de Sarria	-18.45447	-65.20319
Alfonso Ii, Count Of Provence	 	Count of Provence	1174	Barcelona	1 December 1209	Palermo	9.45588	-64.82928
Alfonso Jordan	Alphonse Jourdain (French)	Count of Tripoli, 1105-1109, thereafter Counts of Toulouse|Count of Toulose	1103	Mont-Pelerin, Tripoli, Lebanon|Tripoli	1148	Caesarea	32.87519	13.18746
Alfonso V of Aragon	 	Monarch	1396	Medina del Campo, Kingdom of Castile	27 June 1458	Castel dell'Ovo, Naples, Kingdom of Naples	41.31239	-4.91413
Alfonso X of Castile	 	King of Castile	23 November 1221	Toledo, Spain|Toledo, Kingdom of Castile	4 April 1284	Seville, Kingdom of Castile	-34.74222	-56.09833
Alfonso of Aragon	 	prince	1481	Kingdom of Naples	18 August 1500	Rome, Papal States	42.5	1.48333
Alfonso of Molina	Alfonso of León, Lord of Molina	Son of King Alfonso IX of León	1203	León, Spain|León	6 January 1272	Salamanca	9.2259	-69.58746
Alfonso, Kristian	Alfonso, Kristian-Joy	American soap opera actress	September 5	Brockton, Massachusetts, United States	 		42.08343	-71.01838
Alfonso, Prince of Asturias	 	Prince of Asturias	17 November 1453	Tordesillas	5 July 1468	Cardeñosa	10.756	122.103
Alfred the Great	Ælfred	King of Wessex	849	Wantage, England	26 October 899	Winchester	41.24312	-74.6259
Algardi, Alessandro	 	Sculptor	31 July 1598	Bologna	10 June 1654		44.50657	11.35041
Ali Al-Akbar Ibn Husayn	 	Muslim martyr	664	Medina	680	Karbala, Iraq	34.83333	15.16667
Ali	 	Cousin and son-in-law of Islamic prophet Muhammad	September 20, 601	Mecca	January 31, 661	Kufa	41.38719	-80.76172
Alice Of Champagne	 	Queen consort of Cyprus	1196	Jerusalem	1246	Acre, Israel	31.78199	35.21961
Alix, Duchess Of Brittany	 	Hereditary Duchess of Brittany 1203-1221	5 September 1201	Brittany	21 October 1221		42.5	1.58333
Allen, Ralph	 	Businessman	1693	St Columb Major	29 June 1764	Bath, Somerset|Bath	42.5	1.48333
Allen, William	 	Cardinal	1532	Rossall, Fleetwood, Lancashire, England	16 October 1594	Rome	53.92527	-3.01085
Allerton Jr., Isaac	 	American politician	1627	Plymouth, Massachusetts	October 25, 1702	Narrow's Plantation, Westmoreland County, Virginia|Westmoreland County, Virginia	-17.29753	31.0973
Allerton, Isaac	 	Mayflower passenger	1586	probably St. Andrews under Shaft, London, England	April 1, 1659	New Haven, Connecticut, USA	51.53223	-0.04905
Alleyn, Edward	 	English actor	1 September 1566	Bishopsgate, London	25 November 1626		51.53223	-0.04905
Allouez, Claude-Jean	 	French missionary	June 6, 1622	Saint-Didier-en-Velay	August 28, 1689	near what is today Niles, Michigan	45.30234	4.27561
Almeida, Joao Ferreira De	 	Portuguese pastor	1628	Torres de Tavares, Portugal	1691		-23.48628	-46.73367
Almeida, John	 	English Jesuits	1571	London	24 September 1653	Rio de Janeiro	51.53223	-0.04905
Alpini, Prospero	 	Venetian physician and botanist	November 23, 1553	Marostica, Italy	February 3, 1617	Padua, Italy	45.7468	11.6579
Alstromer, Jonas	 	Swedish agronomist	7 January 1685	Alingsås	2 June 1761		58	12.5
Altdorfer, Albrecht	 	German renaissance painter	about 1480	Regensburg	12 February 1583	Regensburg	49.01681	12.09536
Alvarez de Toledo, Fernando 03	Grand Duke of Alba	Spanish military leader and diplomat	29 October 1507	Ávila, Spain	1582-12-11	Lisbon, Portugal	10.54275	-66.874
Alvarez, Mabel	 	American artist	November 28, 1491	Oahu, Hawaii, United States	March 13, 1985	Los Angeles	-17.75	-149.53333
Amadeus III, Count of Savoy	Amédée III de Savoie (French); Amedeo III di Savoia (Italian)	Count of Savoy (1103-1148)	1095	Carignano	April 1148	Nicosia	44.90694	7.67322
Amadeus IX of Savoy	 	Duke of Savoy	1 February 1435	Thonon-les-Bains	30 March 1472		46.36667	6.48333
Amadeus V of Savoy	Medeo V (Piedmontese)	Count of Savoy (1285-1323)	between 1249 and 1253	Le Bourget-du-Lac	16 October 1323	Avignon	45.64756	5.86085
Amadeus of Portugal	da Silva, Joao de Mendes 	Franciscan friar and reformer	1420	Rio Maior, Portugal	10 August 1482	Milan, Italy	39.2	-8.71667
Amadeus, Charles, Duke Of Nemours	 	French military leader and magnate	12 April 1624	Paris, France	30 July 1652	Paris, France	48.86694	2.78207
Amalberga of Maubeuge	 	Saint	7th century	unknown	about 690	Abbey of Maubeuge	31.33722	67.79028
Amalia Catharina	 	German poet and musician	8 August 1640	Bad Arolsen|Arolsen	4 January 1697		51.3667	9.01667
Amalia of Solms-Braunfels	Amalie zu Solms-Braunfels (German)	Regent of Orange	31 August 1602	Braunfels	8 September 1675	the Hague	50.5009	8.39557
Amand, Saint	 	Saint	584	Poitou|Lower Poitou	675	Saint-Amand Abbey|Saint-Amand	46.10342	-0.1986
Amar Das	 	Indian religious leader	31 March 1479	Basarka, Punjab region|Punjab, India	1 September 1574	Amritsar, Punjab (India)|Punjab, India	42.56667	1.48333
Ambrose Of Siena	 	Italian teacher and diplomat	16 April 1220	Siena	1286	Siena	-34.89496	138.53334
Ambrose	Ambrose, Saint; Ambrosius; Ambrogio; Ambroeus;	bishop of Milan; one of the four original doctors of the Church	between 337 and 340	Trier, Germany	4 April 397	Milan, Italy	48.67778	-98.90338
Amelot, Denis	 	French Oratorian Biblical translator and scholar	1609	Saintes, Charente-Maritime, Kingdom of France	7 October 1678	Paris, Kingdom of France	50.70499	4.16006
Amerbach	 	German printer	1440	Amorbach, Germany	25 December 1513	Basel, Switzerland	49.6431	9.2273
