NAME	ALTERNATIVENAMES	SHORTDESCRIPTION	DATEOFBIRTH	PLACEOFBIRTH	DATEOFDEATH	PLACEOFDEATH	LATITUDE	LONGITUDE
Portinari, Beatrice	Bice	 	1266	Florence	1290	Florence	-21.87344	30.89136
Portugal, Joan Of	 	Portuguese infanta	20 March 1439	Quinta do Monte Olivete, Almada, Portugal	12 December 1475	Madrid	2.1	-62.55
Portugal, Theresa Of, Queen Of Leon	 	Queen of Leon	October 4, 1178	Coimbra	June 18, 1250	Lorvão Abbey	-23.59538	-50.14227
Post, Maurits	 	Dutch Golden Age architect	1645	Haarlem	1677	The Hague	-30.47462	18.66011
Posthumous, Ladislaus The	 	King of Hungary	22 February 1440	Komárno|Komárom, Kingdom of Hungary	23 November 1457	Prague, Kingdom of Bohemia	47.76356	18.12263
Potocki, Jozef	 	Polish noble	1673	Ivano-Frankivsk|Stanisławów	1751-05-19	Założce	48.88417	24.68611
Potocki, Stanislaw Rewera	 	Polish noble	1579	Pidhaitsi, Poland	1667	Pidhaitsi, Poland	15.30914	44.1889
Potocki, Teodor Andrzej	 	Polish noble	February 13, 1664	Moscow, Russia	December 12, 1738	Gniezno, Poland	55.75222	37.61556
Potocki, Wacław	 	Polish noble	1621	Wola Łużańska	9 August 1696	Łużna	49.68927	21.06747
Potter, John	 	Archbishop of Canterbury	1674	Wakefield, Yorkshire	10 October 1747		-18.44236	31.88294
Potter, Paulus	 	Dutch painter 	November 20, 1625	Enkhuizen,	January 17, 1654	Amsterdam,	42.5	1.48333
Pourbus the younger, Frans	 	Flemish painter	1569	Antwerp	1622	Paris	42.2009	-85.82171
Pourbus, Frans The Elder	 	painter	1545	Bruges	19 September 1581	Antwerp	44.87981	-0.61219
Pourbus, Pieter	Pieter Jansz. Pourbus	Flemish Renaissance painter	1523	Gouda	30 January 1584	Bruges	-33.30034	19.04006
Poussin, Nicolas	 	French painter	15 June 1594	near Les Andelys, Normandy, Early modern France|Kingdom of France (now France)	19 November 1665	Rome, Papal States (now Italy)	38.70914	-90.2958
Poyser, James	 	Musician and songwriter	January 31	Sheffield, England	 		41.68583	-79.02009
Pozzo, Andrea	Andreas Puteus	Jesuit Brother, architect and painter	30 November 1642	Trento, County of Tyrol, Holy Roman Empire	31 August 1709	Vienna, Hapsburg Monarchy, Holy Roman Empire	8.05	126.13333
Prévost, Antoine François	Abbé Prévost; Antoine Francois Prévost d'Exiles	French novelist	1 April 1697	Hesdin, Artois, France	23 December 1763	Chantilly, Oise|Chantilly, France	50.40114	2.10145
Praet, Louis of	 	Belgian politician	1488	Bruges	7 October 1555		44.87981	-0.61219
Pratap, Maharana	Pratap Singh Sisodiya	Indian warrier king, 1500s	May 9, 1540	Kumbhalgarh, Juni Kacheri, Pali, Rajasthan|Pali	January 19, 1597	Chavand	40.03667	19.86722
Premare, Joseph Henri Marie de	 	Jesuit missionary to China	1666	Cherbourg, France	1736		-26.29191	151.95213
Prince Georg Friedrich of Waldeck	Georg Friedrich Fürst zu Waldeck (German)	Dutch General and German Field Marshal	31 January 1620	Arolsen	19 November 1692	Arolsen	51.3667	9.01667
Prince George	Prince Jørgen	prince consort	2 April 1653	Copenhagen, Denmark	28 October 1708	Kensington Palace, London	55.58297	12.62937
Prince Otsu	 	Japanese prince	663	Tsukushi Province, Japan	686	Asuka, Yamato|Asuka, Japan	41.5	135
Prince William, Duke of Gloucester	 	son of Queen Anne	24 June 1689	Hampton Court Palace, London	30 July 1700	Windsor Castle, Windsor, Berkshire	51.53223	-0.04905
Prior, Matthew	 	British diplomat, poet	21 July 1664	London, England	18 September 1721	Wimpole, Cambridgeshire, England	51.53223	-0.04905
Proctor, Elizabeth	 		1652	 		Kansas	40.63791	-89.10662
Prokopovich, Feofan	 	Russian archbishop	18 June 1681	Kiev	19 September 1736	St. Petersburg	50.60833	30.48533
Props, ReneeTV 	Babette Renee Props	Props	15 February 	Oklahoma	 		-18.53592	31.25735
Ptolemy 01	 	Macedonian general	367 BC	Macedon	 	Alexandria, Egypt	-37.41963	144.56242
Pujol, Joan Pau	 	Spanish/Catalan composer and organist	bapt. 18 June 1570	Mataró	17 May 1626	Barcelona	41.54211	2.4445
Pulci, Luigi	 	Italian poet	15 August 1432	Florence, Italy	11 November 1484	Padua, Italy	-21.87344	30.89136
Purcell, Henry	 	English baroque composer	10 September (?) 1659	Westminster, England	21 November 1695	Westminster, England	49.20678	-122.91092
Pylarini, Giacomo	 	Italian physician	1659	Cefalonia	1718	Padua, Italy	42.5	1.58333
Pyrrho	 	Ancient Greek philosopher	360 BC	Elis, Greece	 		-21.8	-47.83333
Pythagoras	Πυθαγόρας (Greek)	Ionian philosopher	570 BC	Samos	495 BC	Metapontum	37.73347	26.81096
Pytheas	 	Ancient Greek explorer	380 BC	Massalia	 		42.5	1.58333
Qais Abdur Rashid	 	Pashtun patriarch	575	Zhob	661		30.42956	67.00112
Qalandar, Lal Shahbaz 	Marandi, Syed Usman; Qalandar, Hazrat Lal Shahbaz 	Sufi saint, philosopher, poet, and qalandar	 1177	Marwand	 1274	Sehwan	42.5	1.58333
Qin Shi Huang	First Emperor	First emperor of a unified China	November / December 260 BC	Handan, Zhao (state)|State of Zhao	September 10, 210 BC	Shaqiu prefecture, China	26.82222	119.59981
Qinzong Of Song	 	Northern Song emperor	23 May 1100	 	14 June 1161	 	23 May 1100	14 June 1161
Qu, Yuan	 	Chinese poet and politician	343 BC	Chu (state)|State of Chu, in what is now Hubei, China	278 BC	The Miluo River	42.5	1.58333
Quagliati, Paolo	 	Italian composer	1555	Chioggia	16 November 1628		45.20779	12.29302
Quarles, Francis	 	English poet	8 May 1592	Romford	8 September 1644	London	-16.89034	29.56032
Queen Anne	Queen Anne of Great Britain	Queen of England, Scotland and Ireland	6 February 1665	St James's Palace, London	1 August 1714	Kensington Palace, London	51.53223	-0.04905
Quercia, Jacopo Della	 	Italian artist	1374	Quercia Grossa (Siena), Italy	October 20, 1438	Siena, Italy	15.337	44.20654
Quesnay, Francois	 	French economist	June 4, 1694	Méré, Yvelines|Méré near Versailles (city)|Versailles	December 16, 1774	Versailles (city)|Versailles	9.20952	15.94853
Quevedo, Francisco de	 	Spanish writer	14 September 1580	Madrid, Spain	8 September 1645	Villanueva de los Infantes, Spain	40.46179	-3.56718
Quintero, Alejandra	 	Mexican model	26 September	Nuevo León	 		22.96126	-99.04795
Quiroga, Rodrigo de	 	Spanish conquistador general	1512-00-00	San Juan de Boime, Spain	February 20, 1580	Santiago, Chile|Santiago, Chile	17.1859	-89.01033
Quispe Tito, Diego	 	Peruvian painter	1611	Cuzco, Peru	1681	Peru	8.08333	-70.03333
Qutbuddin Bakhtiar Kaki	 	Indian Sufi	 1173	Aush in Transoxiana (A region in central Asia corresponding approximately with modern-day Uzbekistan, Tajikistan and southwest Kazakhstan)	 1235	Delhi	42.5	1.48333
Römer, Olaf Christensen	 	Danish Astronomer	5 October 1644	Aarhus	19 September 1710	Copenhagen	56.15298	10.199
Racine, Jean	 	French poet	1639	La Ferté-Milon, France	1699	Paris, France	49.17454	3.12885
Racine, Louis	 	French poet	6 November 1692	Paris	29 January 1763	Paris	48.86694	2.78207
Radisson, Pierre	 	French explorer	1636	France	1710	London, England	15.33712	44.2012
Radziwill, Albrycht Stanislaw	 	Polish noble	July 1, 1595	Olyka|Ołyka, Ukaraine	November 12, 1656	Gdańsk, Poland	50.71855	25.81251
Radziwill, Albrycht Wladyslaw	 	Polish prince	16 June 1589	Nesvizh	20 July 1636	Czernawczyce	42.5	1.58333
Radziwill, Aleksander Ludwik	 	Polish prince	4 August 1594	Nieśwież	30 March 1654	Bologna	42.5	1.58333
Radziwill, Anna	 	Polish-Lithuanian noble	1476	Vilnius, Lithuania	March 15, 1522	Liw, Poland|Liw, Poland	54.63413	25.28577
Radziwill, Barbara	 	Queen consort of Poland, Grand Duchess of Lithuania	6 December 1520	Vilnius	8 May 1551	Kraków	54.63413	25.28577
Radziwill, Boguslaw	 	Polish-Lithuanian noble	May 3, 1620	Gdańsk|Gdańsk (Danzig), Polish–Lithuanian Commonwealth|Kingdom of Poland	December 31, 1669	Königsberg, Ducal Prussia	54.36112	18.68976
Radziwill, Dominik Mikolaj	 	Polish-Lithuanian noble	1643	Nieswiez	27 July 1697	Warsaw	42.5	1.58333
Radziwill, Janusz 1612–1655	 	Polish noble	12 December 1612	Popiela, near Biržai	31 December 1655	Tykocin	42.5	1.48333
Radziwill, Janusz	 	Polish prince	2 July 1579	Vilnius, then Polish-Lithuanian Commonwealth, now Lithuania	3 December 1620	Czarlin, then Polish-Lithuanian Commonwealth, now Poland	54.63413	25.28577
Radziwill, Jerzy	 	Catholic cardinal	May 31, 1556	Vilnius	January 21, 1600	Rome	54.63413	25.28577
Radziwill, Karol Stanislaw	 	Polish prince	November 27, 1669	Kraków	August 2, 1719	Biała	50.0469	20.0048
Radziwill, Katarzyna Barbara	 	Polish-Lithuanian noble	December 6, 1693	Biała	October 16, 1730	Białystok	49.81204	19.03899
Radziwill, Krystyna	 	Polish-Lithuanian noble	September 11, 1560	Lawryczki|Ławryczki	February 28, 1580		42.5	1.48333
Radziwill, Krzysztof Mikolaj	 	Polish noble	1547	Vilnius, then Grand Duchy of Lithuania, now Lithuania	20 November 1603	Łosośna	54.63413	25.28577
Radziwill, Krzysztof	 	Polish prince	22 March 1585	Biržai	19 September 1640	Svėdasai	56.2	24.75
Radziwill, Liudvika Karolina	 	Polish-Lithuanian noble	27 February 1667	Königsberg, Ducal Prussia	25 March 1695	Brzeg	47.7	13.33333
Radziwill, Michal Kazimierz	 	Polish-Lithuanian noble	26 October 1625	Nesvizh	14 November 1680	Bologna	42.5	1.58333
Radziwill, Mikolaj Krzysztof	 	Grand Marshal of Lithuanian	August 2, 1549	Ćmielów	February 28, 1616	Nieśwież	50.89028	21.51426
Radziwill, Mikolaj Krzysztof	 	Polish noble	August 14, 1695	Biała	June 2, 1715		49.81204	19.03899
Radziwill, Mikolaj The Red	 	Great Hetman of Lithuania	1512	Nesvizh, now Belarus	April 27, 1584		42.5	1.58333
Radziwill, Mikolaj the Black	 	Lithuanian noble	February 4, 1515	Niaśviž	May 28, 1565	Vilnius	42.5	1.48333
Radziwill, Zygmunt Karol	 	Polish prince	4 December 1591	Nesvizh	5 November 1642	Assisi	42.5	1.58333
Raghavendra	 	Hindu guru	1595	Bhuvanagiri, Tamil Nadu|Bhuvanagiri, Gingee Nayak kingdom	1671	Mantralayam	11.44154	79.64568
Rahula	 	Disciple of Gautama Buddha	 534 BC	 Kapilavastu	 		42.5	1.58333
Rai, Guru Har	 	Sikh Guru	26 February 1630	 kiratpur	6 October 1661		42.5	1.48333
Rais, Gilles De	Gilles de Montmorency-Laval, Gilles de Retz, Gilles de Rays, Gilles de Raiz	French serial killer	4 September 1404	Machecoul, France	26 October 1440	Nantes, Duchy of Brittany|Brittany	46.99358	-1.82352
Rajab, Ibn	 	Muslim scholar of Islam	1335	Baghdad	1393		33.34058	44.40088
Rajasimha 02 Of Sri Lanka	 	King of Sri Lanka	1608	Sri Lanka	6 December 1687	Sri Lanka	7.9762	79.7968
Raleigh, Walter	 	English aristocrat	22 January 1552	Devonshire, England	29 October 1618	London, England	32.30278	-64.75583
Ramananda	 	Vaishnava sant, religious leader	1400	Allahabad, Uttar Pradesh, India	1470	Varanasi, Uttar Pradesh, India	25.44006	81.73387
Ramanuja	 	Indian philosopher	1017	Sriperumbudur, Tamil Nadu, India.	1137	Sri Rangam, Tamil Nadu, India	-10	66
Ramazzini	 	Italian malariologist	3 November 1633	Carpi (MO)|Carpi	5 November 1714	Padua	-23.29883	-46.54652
Ramdas	 	Indian Hindu saint	1608	Jamb, Jalna District, Maharashtra, India	1681	Sajjangad	33.33759	67.28869
Rameau, Jean-Philippe	 	French composer	25 September 1683	Dijon	12 September 1764	Paris	7.73333	0.78333
Ramon Berenguer III, Count of Barcelona	Ramon the Great	Count of Barcelona (1082-1131)	1082	Rodez	1131	Barcelona	44.40787	2.48267
Ramsay, Allan	 	Scottish poet	15 October 1686	Leadhills, Lanarkshire, Scotland	7 January 1758		55.41704	-3.76043
Randolph, Thomas,	 	English poet and dramatist.	15 June 1605	Badby, Northamptonshire	1635	Blatherwycke, Northamptonshire	52.25	-0.83333
Raphael	Raphael Sanzio, Raffaello, &quot;Raffaello Santi&quot;, &quot;Raffaello da Urbino&quot;, &quot;Rafael Sanzio da Urbino&quot;.	Italian Renaissance artist and architect	April 6 or March 28, 1483	Urbino, Italy	April 6, 1520	Rome	43.72976	12.63555
Rasi, Francesco	 	Italian composer, singer, instrumentalist, poet	14 May 1574	Arezzo	30 November 1621)	Mantua	42.70559	12.61883
Ratherius	Rathier; Rather of Verona	teacher, writer, Roman Catholic bishop	890	Liège area	25 April 974	Namur	42.5	1.48333
Rauwolf, Leonhard	 	German botanist and writer	June 21, 1535	Augsburg, Germany	September 15, 1596	Waitzen, Hungary	48.50011	-96.71487
Rawlinson, Richard	 	Antiquarian and clergyman	3 February 1690	England	6 April 1755		38	-61
Raymond VI, Count of Toulouse	 	Count of Toulouse	October 27, 1156	Saint-Gilles, Gard, France	August 2, 1222		43.67778	4.43111
Raymond of Peñafort	Raimundo de Peñafort	Dominican Master General and archbishop and saint	1180	Vilafranca del Penedès, Catalonia, Kingdom of Aragon	6 January 1275	Barcelona, Kingdom of Aragon	41.35	1.7
Raynaldi, Odorico	 	Italy|Italian historian and Oratorian	1595	Treviso	22 January 1671	Rome	-25.42746	-48.87754
Razi	 	Persian scientist	854 CE	Rey, Iran|Rey	925	Rey, Iran|Rey	10.49639	-67.99306
Razia Sultan	Razia al-Din (birthname); Jalâlat ud-Dîn Raziyâ (throne name)	Sultana of Delhi	1205	Delhi	October 14, 1240	Rabi' al-awwal	47.02318	-103.85681
Reading, John	 	Colonial Governor of New Jersey	6 June 1686	Gloucester City, New Jersey|Gloucester, New Jersey, United States	5 November 1767		40.16706	-74.49987
Rebel, Jean-Féry	 	French Baroque composer and violinist	18 April 1666	Paris, France	2 January 1747	Paris, France	48.86694	2.78207
Rebiba, Scipione	 	Catholic cardinal	3 February 1504	San Marco d’Alunzio	23 July 1577	Sabina	42.5	1.48333
Regalado, Peter De	 	Franciscan reformer	1390	Valladolid	30 March 1456		10.0997	123.6815
Regiomontanus	Johannes Müller von Königsberg or Joannes de Regio monte (Latin)	German astronomer, astrologer, and mathematician	June 6, 1436	Unfinden, Germany	July 6, 1476	Rome, Italy	-29.80183	30.88396
Regis, John	 	French Jesuit priest	31 January 1597	Fontcouverte, Aude|Fontcouverte (Aude), France	30 December 1640	Lalouvesc (Ardèche), France	43.16806	2.68763
Regner, Art	A.J. Turner	American radio personality	November 5th	Detroit, Michigan	 		42.33143	-83.04575
Reimarus, Hermann Samuel	 	Germany|German philosopher	December 22, 1694	Hamburg	March 1, 1768	Hamburg	-33.29042	27.4747
Reizei	 	Japanese emperor	June 12, 949	Heian Kyō (Kyōto)	November 21, 1011	Heian Kyō (Kyōto)	42.5	1.48333
Rej, Mikolaj	 	Polish poet and prose writer, politician and musician of the Renaissance	February 4, 1505	Żurawno, Poland (now Zhuravno, Ukraine)	October 5, 1569	Rejowiec, Poland	42.5	1.58333
Remigius, Saint	 	French bishop and saint	437	Cerny-en-Laonnois, Picardy, France	533	Reims|Rheims, Champagne, France	49.44274	3.66893
René II, Duke of Lorraine	 	Duke of Lorraine (1473-1508)	2 May 1451	Angers	10 December 1508	Fains	47.56254	-0.31268
René of Châlon	Renatus von Oranien-Nassau (German)	Prince of Orange (1530-1544)	5 February 1519	Breda, Duchy of Brabant	15 July 1544	Saint-Dizier, France	-25.5064	-49.9303
Renata of Lorraine	Renée de Lorraine (French); Renata von Lothringen (German)	Duchess consort of Bavaria (1579–1597)	20 April 1544	Nancy, France|Nancy	22 May 1602	Munich	9.31667	-82.18333
Rene, Marquis of Elbeuf	René II de Lorraine-Guise (French)	Marquis of Elbeuf (15501556)	14 August 1536	Joinville, Haute-Marne|Joinville	14 December 1566		-23.53219	-47.01244
Reni, Guido	 	Italian painter 	4 November 1575	Bologna	18 August 1642	Bologna	44.50657	11.35041
Rensselaer, Jeremias Van	 	Dutch colonial governor	May 16, 1632	Amsterdam, Netherlands	October 14, 1674	Manor of Rensselaerswyck, New York	52.3688	4.89017
Rensselaer, Kiliaen Van	 	Dutch businessman	1586	Hasselt, Overijssel|Hasselt, Overijssel, Netherlands	October 7, 1643	Amsterdam, Netherlands	50.93106	5.33781
Repgow, Eike von	Repkow, Eike von	Author of the Sachsenspiegel, the oldest legal book in German	1180	Repgow (now Reppichau)	1235		42.5	1.48333
Repyngdon, Philip	Repington, Philip	Bishop of Lincoln	c1345	Wales	1424		12.79139	44.98194
Resende	 	Portuguese archaeologist	1500	Évora, Kingdom of Portugal|Portugal	1573	Évora, Kingdom of Portugal|Portugal	38.56667	-7.9
Restorer, Casimir I The	 	Polish king	25 July 1016	Kraków, Poland	28 November 1058	Poznań, Poland	50.0469	20.0048
Reuchlin, Johann	 	German humanist and a scholar of Greek and Hebrew	29 January 1455	Pforzheim	30 June 1522	Stuttgart	48.89154	8.7156
Reventlow, Anne Sophie	 	danish royal consort	16 April 1693	Clausholm Castle	7 January 1743		42.5	1.48333
Reventlow, Christian Detlev, Count	 	Danish general and president of Altona (1713-1732)	June 21, 1671	Haderslev	October 1, 1738	Tølløse Castle in Tølløse	55.25377	9.48982
Reyes Correa	 	Puerto Rican Army officer	1665	Arecibo, Puerto Rico	June 9, 1758	Puerto Rico	21	-66
Reynolds, Richard	 	Brigittine monk and martyr	1492	Devon, Kingdom of England	4 May 1535	Tyburn, London, Kingdom of England	-20.27636	32.75909
Rheticus, Georg Joachim	 	Austrian mathematician and astronomer	16 February 1514	Feldkirch, Vorarlberg|Feldkirch, Austria	4 December 1574	Košice|Kassa, Hungary	47.23306	9.6
Rhodes, Jennifer	 	American actor	June 27	Rosiclare, Illinois|Rosiclare, Illinois, United States	 		44.75832	-99.4815
Rhys ap Gruffydd	The Lord Rhys; Yr Arglwydd Rhys (Welsh)	Prince of Deheubarth	1132	Cantref Mawr, Wales	28 April 1197	not recorded	12.79139	44.98194
Ribault, Jean	 	French navigator and colonizer	1520	Dieppe, Seine-Maritime	October 12, 1565	near Saint Augustine, Florida	17.01667	-61.78333
Ribeiro, Bernardim	 	Portuguese poet and writer	1482	Torrão, Portugal	October 1552	Lisbon, Portugal	-23.50078	-50.12835
Ribera, Alonso de	 	Royal Governor of Chile	1560	Úbeda, Spain	March 9, 1617	Concepción, Chile|Concepción, Chile	10.63311	-69.86345
Ribera, Jusepe de	Ribera, José de; Ribera, Giuseppe; Lo Spagnoletto	Italian painter	January 12, 1591	Xàtiva near Valencia, Spanish Empire	September 2, 1652	Naples, Spanish Empire	42.5	1.48333
Ricci, Matteo	 	Italian Jesuit priest active in China	October 6, 1552	Macerata	May 11, 1610	Beijing, China	43.29816	13.44108
Rich, Edmund	Saint Edmund of Abingdon; Saint Edmund of Canterbury; Saint Eadmund of Canterbury	Archbishop of Canterbury; Saint	20 November, about 1175	Abingdon, Berkshire	16 November 1240	Soisy-Bouy, France	-17.66684	143.19992
Rich, Penelope Rich, Lady	 	English noblewoman	1563	Chartley Castle, Staffordshire, England	7 July 1607	London, England	52.85	-1.98333
Richard Blount, S.J.	Rich	English priest and Jesuit Provincial of England under King James I and Charles I.	1565	Leicestershire, England	1638	London England	52.66667	-1
Richard I, Duke Of Normandy	 	Duke of Normandy	933	Fécamp, Normandy, France	996	Fécamp, Normandy, France	49.75787	0.37457
Richard II of England	 	King of England	6 January 1367	Bordeaux, Aquitaine	14 February 1400	Pontefract Castle, West Yorkshire	50.63333	4.51667
Richard III of England	 	King of England	2 October 1452	Fotheringhay Castle, Northamptonshire	22 August 1485	Bosworth Field, Leicestershire	52.25	-0.83333
Richard of Chichester	, Wyche Richard	Bishop of Chichester, Saint	1197	Droitwich, Kingdom of England	3 April 1253	Dover, England	42.5	1.58333
Richard of Wallingford	 	English mathematician	1292	Wallingford, England	1336	St Albans	-20.57926	29.34602
Richard, Earl of Cornwall	 	King of the Romans, Earl of Cornwall	5 January 1209	Winchester Castle, Hampshire, England	2 April 1272	Berkhamsted Castle, Hertfordshire, England	43.13575	-70.93162
Richmond And Somerset, Henry Fitzroy, 1st Duke Of	 	Royal bastard of Henry VIII	15 June 1519	Blackmore, Essex	23 July 1536	Thetford, Norfolk	-31.84	115.8275
Ridley, Nicholas	 	Bishop of London; Anglican Saint	Probably 1503	South Tynedale, Northumberland	16 October 1555	Oxford, England	-34.80383	20.06438
Riebeeck, Jan Van	 	Dutch colonial governor	21 April 1619	Culemborg, Gelderland	18 January 1677	Batavia, Dutch East Indies|Batavia&lt;br/&gt; Dutch East India Company in Indonesia|VOC East Indies	51.94465	5.20946
Ries, Adam	 	German mathematician	1492	Staffelstein	March 30, 1559	Annaberg	50.099	10.9962
Rigaud, Hyacinthe	 	French painter	18 July 1659	Perpignan	29 December 1743	Paris	42.69764	2.89541
Rigby, John, Saint	 	England|English Roman Catholic Church|Roman Catholic martyrdom|martyr	1570	Eccleston, Lancashire, England	June 21, 1600	St Thomas Waterings, Lancashire, EnglandFarley, Rupert	 	British actor
Ripa, Cesare	 	Italian art historian	1560 	Perugia, Italy	1622	Rome, Italy	43.09674	12.38286
Rist, Johann Von	 	German poet and dramatist	1607	Ottensen, Holstein	1667	Wedel	53.82403	10.49577
Rivers, Anthony Woodville, 2nd Earl	 	English nobleman, courtier, and writer	1442	?	1483	1483	42.5	1.58333
Rivinus, Augustus Quirinus	August Bachmann	German physician and botanist	9 December 1652	Leipzig, Germany	20 December 1723		46.50135	-101.86063
Robert 01 Of Scotland	 	Scottish rebel	11 July 1274	Turnberry Castle, Ayrshire	7 June 1329	Cardross, Argyll and Bute|Manor of Cardross	-17.21667	30.36667
Robert 02 Of France	 	King of France	27 March 0972	Orléans, France	20 July 1031	Melun, France	18.06912	-63.03542
Robert 03 Of Scotland	 	King of Scotland	14 August 1337	Scone Palace	4 April 1406	Rothesay Castle	56.4	-3.43333
Robert De Sorbon	 	Chaplain of Louis IX of France	October 9, 1201	Sorbon, France	August 15, 1274		13.78434	1.67154
Robert Of Newminster	 	English cistercian 	1100	Gargrave, North Yorkshire, England	June 7, 1159	Newminster Abbey, Morpeth, Northumberland|Morpeth, Northumberland, England	54.16667	-1.5
Roberval, Gilles De	 	French mathematician	August 10, 1602	Senlis, Oise|Senlis, France	October 27, 1675	Paris, France	49.2	2.58333
Robinson John	 	English pastor	1576	Sturton-Le-Steeple, Nottinghamshire, England	1625	Leiden, Zuid Holland, the Netherlands	53.16667	-1
Robinson, John	 	British bishop	7 November 1650	Cleasby, North Yorkshire	11 April 1723	Hampstead, London	54.16667	-1.5
Robinson, Leon	 	American actor and singer	March 8,	New York, New York, United States	 		40.75333	-73.98278
Roch	 	French saint	1295	Montpellier, Kingdom of Majorca	16 August 1376	Vorghera, County of Savoy	43.60467	3.88077
Rochester, John Wilmot, 2nd Earl	 	English noble, poet, and libertine	1 April 1647	Ditchley, Oxfordshire, England	26 July 1680	Woodstock, Oxfordshire, England	51.83333	-1.25
Rochester, Laurence Hyde, 3rd Earl Of	 	English diplomat	1641	England	2 May 1711	London, England	38	-61
Rodríguez de Fonseca, Juan	 	Spanish archbishop and politician	1451	Toro, Province of Zamora, Spain	4 March 1524	Burgos, Spain	38.5	8.21667
Rodrigues, Diogo	Roiz, Diego	Portuguese explorer	1500	Lagos, Portugal	21 April 1577	Colvá, Goa	6.45306	3.39583
Rodriguez, Alphonsus	Rodríguez, Alonso	Jesuit lay brother and saint	25 July 1532	Segovia, Spain	31 October 1617	Mallorca, Spain	8.30732	-68.89893
Roe, Alban	 	English Benedictine martyr	July 20, 1583	Bury St. Edmunds, Suffolk, England	January 21, 1642	Tyburn, London|Tyburn, London, England	45.9334	-74.91597
Roettiers, Francois	Roëttiers; Roettier; Rottier; Rottiers	engraver, medallist, painter, sculptor	3 November 1685	London	10 June 1742	Vienna	51.53223	-0.04905
Roger II of Sicily	Ruggero II di Sicilia (Italian)	King of Sicily (1130-1154)	22 December 1095	Mileto	26 February 1154	Palermo	38.60958	16.0696
Roger Of Lauria	 	Italian admiral	17 January 1245	Lauria or Scalea, Kingdom of Sicily	19 January 1305	Valencia, Spain|Valencia, Kingdom of Valencia	42.5	1.48333
Roger, Pierre	Clement VI (English); Clemens VI (Latin)	Pope in Avignon, r. 1342–1352	1291	Rosiers d'Égletons, Limousin (province)|Limousin, Kingdom of France	6 December 1352	Avignon, Papal States	42.56667	1.48333
Rogers, John	 	President of Harvard University	January 11, 1630	Coggeshall|Coggeshall, Essex, England	July 12, 1684	Massachusetts	51.87077	0.68536
Rogers, Woodes	 	British sea captain and governor of the Bahamas	1679	most likely Poole, Dorset, England	15 July 1732	Nassau, Bahamas	64.23378	-76.54372
Roggeveen, Jakob	 	Dutch Pacific Ocean explorer	1 February 1659	Middelburg	31 January 1729	Middelburg	-25.77507	29.46482
Rohatgi, Payal	 	Indian actor	9 November	Hyderabad, Andhra Pradesh, India	 		25.36943	68.393
Rojas Villandrando, Agustín de	 	writer and actor.	August, 1572	Madrid	~1618	Paredes de Nava	40.46179	-3.56718
Rolfe, Thomas	 	American colonialist	January 30, 1615	Jamestown, Virginia|Jamestown, Virginia	1675	Kippax Plantation, Virginia	-31.12109	26.80687
Roman, Johan Helmich	 	Swedish Baroque composer	26 October 1694	Stockholm	20 November 1758	Haraldsmåla	59.652	17.93132
Romanos 01	 	Byzantine emperor	870	Lacape	948		42.5	1.48333
Rome, Felicitas Of	 	Christian saint and martyr	101	Rome, Roman Empire	165	Rome, Roman Empire	41.89474	12.4839
Rome, Hippolytus Of	 	Ante-Nicene Christian martyr	170	Rome	235	Sardinia	41.89474	12.4839
Rondelet, Guillaume	 	French physician	27 September 1507	Montpellier	30 July 1566	Réalmont	43.60467	3.88077
Ronsard, Pierre De	 	French poet	11 September 1524	Couture-sur-Loir	28 December 1585	La Riche	47.75355	0.68688
Rooke, George	 	Royal Navy admiral	1 January 1650	St Lawrence, Canterbury, Kent	24 January 1709	St Lawrence, Canterbury, Kent	-18.46524	127.7513
Roomen, Adriaan van	Romanus, Adrianus	mathematician	29 September 1561	Leuven	4 May 1615		50.87959	4.70093
Rosa, Salvator	 	Italian painter and writer	1615	Arenella, Italy	March 15, 1673	Rome, Italy	15.337	44.20654
Rosalia, Santa	 	Italian saint	1130	Palermo, Italy	1166	Mount Pellegrino, Italy	-33.8	-55.98333
Rose of Lima	Flores y de Olivia, Isabel	Peruvian colonist and Dominican saint	April 20, 1586	Lima, Peru, Viceroyalty of Peru, Spanish Empire	August 24, 1617	Lima, Viceroyalty of Peru, Spanish Empire	-12.04318	-77.02824
Rose, Shiva	 	American actor	February 8,	Santa Monica, California|Santa Monica, California	 		34	-118.5
Roseingrave, Thomas	 	English/Irish organist and composer	1690 or 1691	Winchester	23 June 1766	Dún Laoghaire 	-20.43092	27.98273
Roseline, Saint	Roseline or Rossolina de Villeneuve	Carthusian nun	1263	Les Arcs-sur-Argens, Var, France 	January 17, 1329		54.259	30.603
Rosenmüller, Johann	 	German Baroque composer	1619	Oelsnitz, Erzgebirge|Oelsnitz, near Zwickau, Germany	10 September 1684	Wolfenbüttel, Germany	50.71667	12.7
Rosselli, Cosimo	 	Italian painter	1439	Florence	1507	Florence	-21.87344	30.89136
Rossellino, Antonio	 	Italian artist	1427	Settignano	1479	Florence	43.78336	11.32244
Rossi, Luigi de	Rossi, Luigi 	Italian opera composer	1597	Torremaggiore	20 February 1653	Rome	41.69074	15.29634
Rosso Fiorentino	 	Italian painter	8 March 1494	Florence	14 November 1540	Paris	-21.87344	30.89136
Rosson, Richard	 	British entertainer	01/11	Stoke On Trent	 		42.5	1.58333
