#Item	Label	Description	Site on enwiki
Q28322	Balhae	Old kingdom of Korea.	Balhae
Q28573	Inca	empire in pre-Columbian America	Inca Empire
Q31605	Altar frontal from Cardet	altar conserved at the Museu Nacional d'Art de Catalunya, Barcelona, Spain	Altar frontal from Cardet
Q31929	Carolingian Empire	final stage in the history of the early medieval realm of the Franks, ruled by the Carolingian dynasty	Carolingian Empire
Q32381	Virgin and Child with Saint Anne	painting by Masaccio	Virgin and Child with Saint Anne (Masaccio)
Q33061	Taifa of Zaragoza		Taifa of Zaragoza
Q34762	Principality of Bayreuth		Principality of Bayreuth
Q41300	Knights Templar	Western Christian military order	Knights Templar
Q42199	Principality of Ansbach		Principality of Ansbach
Q42585	Kingdom of Bohemia	1198-1918 kingdom in Central/Eastern Europe	Kingdom of Bohemia
Q42834	Western Roman Empire	independently administered western provinces of the Roman Empire	Western Roman Empire
Q44082	Echternach Gospels		Echternach Gospels
Q45310	Saffarid dynasty		Saffarid dynasty
Q46652	Malacca sultanate		Malacca Sultanate
Q47261	Duchy of Bavaria		Duchy of Bavaria
Q49326	Majapahit	empire based on the island of Java from 1293 to around 1500	Majapahit
Q49683	Grand Duchy of Lithuania	European state from the 12th century until 1795	Grand Duchy of Lithuania
Q49697	Liu Song dynasty	former empire in China	Liu Song dynasty
Q55502	Kingdom of Jerusalem		Kingdom of Jerusalem
Q55521	Chūzan		Chūzan
Q55522	Nanzan		Nanzan
Q61588	Fiesole Altarpiece		Fiesole Altarpiece
Q62454	Chen dynasty		Chen dynasty
Q62456	Southern Qi		Southern Qi
Q62943	Maurya Empire		Maurya Empire
Q69461	Early modern France		Early modern France
Q70972	Kingdom of France	state in Western Europe from 987 to 1791	Kingdom of France
Q71747	Duchy of Brittany		Duchy of Brittany
Q72634	Kongō Gumi	World's oldest company	Kongō Gumi
Q73341	Lord Mayor of London	Mayor of (and head of) the City of London Corporation	Lord Mayor of London
Q75036	Seniorate Province		Seniorate Province
Q75613	Almoravid dynasty		Almoravid dynasty
Q79655	Gajapati Kingdom		Gajapati Kingdom
Q79965	Golden Horde	Mongol Khanate	Golden Horde
Q83546	Vladimir-Suzdal Principality		Vladimir-Suzdal
Q83821	Adil Shahi dynasty		Adil Shahi dynasty
