Golden Hat of Schifferstadt	Golden hat	-1350	-1250	8.3731645	49.3845728	null
Principality of Achaea	null	1205	1430	21.269662	37.907646	Armoiries Achaïe.svg
Duchy of Athens	duchy	1205	1456	-83.376678	33.9595974	Coat of Arms of the Duchy of Athens (de la Roche family).svg
Duke of York	Wikimedia list article	1385	1485	-1.8224336	52.6842993	null
East Asian Yogācāra	null	645	745	139.75309	35.68536	null
Pietà (Perugino)	painting	1483	1583	-46.6819643	-23.6140806	null
Stadion (state)	noble family	1200	1741	10.4234469	51.0834196	Oberstadion Wappen.png
Madonna and Child (Masaccio)	painting	1426	1526	-0.128558502487114	51.50882525	null
Tahirid dynasty	dynasty	821	873	61.8462896	37.6046954	null
Bahmani Sultanate	former country	1347	1527	76.8334228	17.3310003	null
Great Perm	state	1323	1505	100	60	null
Triumphs of Caesar (Mantegna)	cycle of paintings	1492	1592	12.340594572533	45.4341991	null
Thirtieth Dynasty of Egypt	Egyptian dynasty	-380	-343	-91.99835	33.13693	null
Bishopric of Dorpat	null	1224	1558	26.7237528	58.3727059	Tartu coat of arms.svg
Tuxtla Statuette	sculpture	162	262	-99.1332102	19.4325301	null
Second Bulgarian Empire	null	1185	1396	25.6321312	43.0820584	Coat of arms of the Second Bulgarian Empire.svg
Duchy of Savoy	null	1416	1860	5.9203636	45.5662672	Blason duche fr Savoie.svg
Ecce Homo (Bosch, 1470s)	painting	1476	1576	8.6738299	50.103336	null
Symmachi–Nicomachi diptych	sculpture	388	488	-0.171602596779448	51.49682255	null
Assumption of the Virgin (Andrea del Castagno)	painting	1449	1549	13.3572597	52.5097776	null
Apoxyomenos	sculpture	-330	-230	12.454661770501	41.90496095	null
Yeomen of the Guard	null	1485	1585	-3.2765753	54.7023545	null
Idrisid dynasty	dynasty	788	974	-5.5522479	34.0718399	null
Seven Sacraments Altarpiece	painting	1445	1545	4.35790140841528	50.8417252	null
Kingdom of Dublin	null	839	1171	-95.43073	45.19488	null
St. Sebastian (Antonello da Messina)	painting	1478	1578	13.7346385	51.0534657	null
County of Schaumburg	countship	1110	1640	-88.0884	42.02873	null
Paradiesgärtlein	painting	1410	1510	8.6738299	50.103336	null
Solms-Braunfels	noble family	1258	1806	10.4234469	51.0834196	Solms-Braunfels Fuersten Wappen.jpg
Speaker of the House of Commons (United Kingdom)	speaker	1377	1477	-1.07497	51.432552	null
Hoysala Empire	null	1026	1343	75.9918793	13.2167959	null
County of Hoya	countship	1202	1582	9.13957	52.8065	Hoya-Grafschaft.PNG
Lady with an Ermine	painting	1490	1590	19.9399745	50.0646897	null
Lucca Madonna (van Eyck)	painting	1435	1535	8.6738299	50.103336	null
Statue of Ebih-Il	sculpture	-2340	-2240	-89.25037	40.00032	null
Timurid dynasty	empire	1370	1507	66.9758026	39.6547869	null
Samanid Empire	dynasty	819	999	64.4231326	39.7675529	null
Khwarazmian dynasty	dynasty	1077	1231	59.1529152	42.3261364	null
Chagatai Khanate	former country	1225	1687	69.2142	35.52773	null
Adoration of the Magi of 1475 (Botticelli)	painting	1476	1576	-46.6819643	-23.6140806	null
Kara-Khanid Khanate	null	840	1212	75.2480499	42.7464049	null
Archbishopric of Bremen	null	1180	1648	8.80717	53.0758099	Wappen Erzbistum Bremen.png
Xin dynasty	dynasty	9	23	111.893678	23.882069	null
Order of the Bath	award	1399	1499	-76.34916	17.9482	null
County of Rodez	null	1112	1212	2.57338	44.35258	null
Gévaudan	null	1096	1790	3.34121	44.6926	Blason province fr Gevaudan.svg
Pietà of Villeneuve-lès-Avignon	altarpiece	1455	1555	4.7963	43.9684	null
Later Shu	former country	934	965	104.0612783	30.6765553	null
Bishopric of Lübeck	null	1160	1803	10.68729	53.86893	null
Papyrus 10	manuscript	400	500	29.2675469	26.2540493	null
Chancellor of the Exchequer	position	1316	1416	-3.2765753	54.7023545	null
Saint Jerome in His Study (after van Eyck)	painting	1442	1542	-83.064520622536	42.3594973	null
Theotokos of Vladimir	painting	1100	1200	37.6064232	55.7349612	null
Xia (Sixteen Kingdoms)	null	407	431	108.8483178	37.9990664	null
Lamentation of Christ (Mantegna)	painting	1480	1580	9.1883633	45.4722044	null
Principality of Murom	principality	1127	1392	42.0426	55.575	null
Primavera (painting)	painting	1478	1578	-46.6819643	-23.6140806	null
Northern Zhou	null	557	581	111.893678	23.882069	null
Bavaria-Munich	null	1392	1505	11.5459388443369	48.13068805	null
Duchy of Brunswick-Lüneburg	null	1235	1806	10.5203138303942	52.27165645	Brunswijk wapen.svg
Tirant lo Blanch	book	1490	1590	-0.3619192	39.4764935	null
Bishopric of Lebus	null	1248	1555	15.25	52.25	null
Principality of Calenberg	principality	1494	1705	9.7385532	52.3744779	Coat of Arms of Brunswick-Lüneburg.svg
Bishopric of Constance	diocese	1155	1803	9.17582	47.66033	null
Duchy of Troppau	null	1269	1369	17.90257	49.93866	null
Aldine Press	publisher	1494	1594	-90.17747	38.70636	null
Principality of Grubenhagen	null	1291	1596	9.8681643	51.8184594	Coat of Arms of Brunswick-Lüneburg.svg
Burgraviate of Nuremberg	null	1105	1440	11.07752	49.45421	COA family de Burggrafen von Nürnberg (Haus Hohenzollern).svg
Nobatia	null	350	450	-3.9185657	40.0177606	null
Duchy of Silesia	null	1138	1335	19	50.25	POL województwo dolnośląskie COA.svg
The Descent from the Cross (van der Weyden)	painting	1435	1535	-3.69241	40.41369	null
Trinity (Andrei Rublev)	painting	1411	1511	37.6064232	55.7349612	null
Former Shu	null	907	925	104.0612783	30.6765553	null
Principality of Göttingen	null	1279	1495	9.9352051	51.5327604	Brunswick-Lüneburg Arms.svg
County of Horne	null	920	1795	10.0889179	53.5540624	null
Crucifixion and Last Judgement diptych	painting	1430	1530	-73.9633640138519	40.77944365	null
Bishopric of Speyer	null	888	1803	8.433615	49.3165553	Wappen Bistum Speyer.png
Kingdom of Poland (1025–1385)	null	1025	1385	17.5958863	52.5359777	Reconstruction of the Grand Coat of Arms of the Crown of the Polish Kingdom.svg
Chimor	null	900	1470	-79.0730914573148	-8.1049574	null
Nefertiti Bust	sculpture	-1345	-1245	11.079964	49.4476576	null
Marinid dynasty	former country	1244	1465	-5.0133482	34.0341156	Marinid emblem of Morocco.svg
Portuguese Navy	navy	1180	1280	-7.8896263	40.033265	null
Papyrus 6	manuscript	350	450	29.2675469	26.2540493	null
Hammadid dynasty	dynasty	1014	1152	4.789403	35.8212153	null
East Grinstead (UK Parliament constituency)	constituency of the United Kingdom	1307	1983	-3.2765753	54.7023545	null
Aldobrandini Wedding	fresco	-50	50	12.454661770501	41.90496095	null
Kingdom of Zimbabwe	null	1220	1450	29.75	-19	null
Declaration of Arbroath	declaration of independence	1320	1420	-94.41551	39.09112	null
County of Namur	countship	981	1795	4.8661892	50.4665284	Arms of Namur.svg
Emirate of Crete	emirate	824	961	25.1328543	35.3340134	null
Despotate of the Morea	null	1348	1460	22.3692477	37.0753213	null
Wari culture	archaeological culture	500	900	-77.1722483	-9.3484957	null
Legend of Saint Ursula	cycle of paintings	1490	1590	12.3282997	45.431244	null
Virgin of the Consellers	painting	1445	1545	2.15342121730515	41.36840785	null
First Lord of the Treasury	null	1126	1226	-3.2765753	54.7023545	null
Aphrodite of Cnidus	sculpture	-360	-260	12.454661770501	41.90496095	null
Apollo Belvedere	sculpture	120	220	12.454661770501	41.90496095	null
Neo-Babylonian Empire	former country	-626	-539	12.8627841	49.3986492	null
Pyxis of al-Mughira	pyxis	968	1068	-4.003104	40.0028028	null
County of Burgundy	countship	982	1678	5.4925463	47.0921047	Blason comte fr Nevers.svg
Bishopric of Halberstadt	diocese	1180	1648	12.48499	41.8925	Wappen Bistum Halberstadt.png
Margraviate of Baden	null	1112	1803	8.2422878	48.7579974	Coat of arms of Baden.svg
Gemma Augustea	sculpture	12	112	16.3617772494109	48.20374855	null
Death of the Virgin (van der Goes)	painting	1472	1572	3.2265407892228	51.2053667	null
La belle ferronnière	painting	1490	1590	2.3027597	48.869394	null
Duchy of Westphalia	null	1180	1280	-95.45029	38.21057	null
Banu Qasi	noble family	714	929	-1.6051916	42.0639202	null
Papyrus 14	manuscript	500	600	33.975650442748	28.55600015	null
Freie Ämter	null	1415	1798	8.2319736	46.7985624	null
Bishopric of Ösel–Wiek	null	1228	1560	23.8287566256464	58.68505075	Haapsalu coat of arms.svg
The Vision of Saint Eustace	painting	1395	1495	-0.128558502487114	51.50882525	null
Papyrus 8	manuscript	350	450	29.2675469	26.2540493	null
Hesse-Marburg	null	1458	1604	8.7757742	50.8117327	Coat of arms of Hesse.svg
Kingdom of Sussex	null	477	825	-0.784174287682107	50.7442503	null
Papyrus 34	manuscript	650	750	29.2675469	26.2540493	null
Taifa of Valencia	null	1010	1238	-0.37739	39.46975	null
