#Item	Label	Description	Site on enwiki
Q1185052	Kingston	borough in central Luzerne County, Pennsylvania	Kingston, Pennsylvania
Q1185336	Fort Henry		Fort Henry, Ontario
Q1185346	Demerara		Demerara
Q1185835	Pittston	city in northeastern Luzerne County, Pennsylvania	Pittston, Pennsylvania
Q1186251	Wisconsin Territory	territory of the USA between 1836-1848	Wisconsin Territory
Q1186937	Hazleton	city in southern Luzerne County, Pennsylvania	Hazleton, Pennsylvania
Q1187041	State College	town in Pennsylvania	State College, Pennsylvania
Q1187087	Florida Territory	territory of the USA between 1822-1845	Florida Territory
Q1187247	Luzerne	borough in central Luzerne County, Pennsylvania	Luzerne, Pennsylvania
Q1187323	Warrior Run	borough in central Luzerne County, Pennsylvania	Warrior Run, Pennsylvania
Q1187331	New Columbus	borough in western Luzerne County, Pennsylvania	New Columbus, Pennsylvania
Q1187496	Plymouth	borough in northeastern Luzerne County, Pennsylvania	Plymouth, Pennsylvania
Q1188068	Nanticoke	city in central Luzerne County, Pennsylvania	Nanticoke, Pennsylvania
Q1189277	National Art Museum of Ukraine		National Art Museum of Ukraine
Q1189954	Mines ParisTech		Mines ParisTech
Q1189960	Denver Art Museum	museum in Denver, Colorado, USA	Denver Art Museum
Q1190227	Andalgalá Department		Andalgalá Department
Q1190582	Bessarabia Governorate		Bessarabia Governorate
Q1190657	Museo Poldi Pezzoli	art museum in Milan	Museo Poldi Pezzoli
Q1191066	San Carlos Department, Mendoza		San Carlos Department, Mendoza
Q1192305	Smithsonian American Art Museum	fine arts museum in Washington, D.C.	Smithsonian American Art Museum
Q1192872	Srednyaya Akhtuba		Srednyaya Akhtuba
Q1193204	Springfield Armory	center for the manufacture of U.S. military firearms from 1777 until its closing in 1968	Springfield Armory
Q1193807	Ministry of External Relations (Brazil)	Performs the diplomatic relations of the Federative Republic of Brazil with other countries	Ministry of External Relations (Brazil)
Q1200696	Museo dell'Opera del Duomo	Florence	Museo dell'Opera del Duomo (Florence)
Q1200969	Finnish National Theatre		Finnish National Theatre
Q1200972	Mikkeli Province	province of Finland in 1831–1997	Mikkeli Province
Q1201111	place Saint-Michel	square in Paris, France	Place Saint-Michel
Q1201549	Detroit Institute of Arts	art museum in Detroit, Michigan	Detroit Institute of Arts
Q1205547	Terek Oblast		Terek Oblast
Q1206596	Deux-Nèthes	former French department (1795-1814)	Deux-Nèthes
Q1207735	Tokyo City	historic municipality in Japan, 1889-1943. now area of 23 special wards	Tokyo City
Q1210322	Slavyanka, Primorsky Krai		Slavyanka, Primorsky Krai
Q1213720	NH Grand Hotel Krasnapolsky		NH Grand Hotel Krasnapolsky
Q1221513	Grand Hôtel		Grand Hôtel (Stockholm)
Q1228416	Ahrensbök Charterhouse		Ahrensbök Charterhouse
Q1229367	Empúries		Empúries
Q1229689	District Six		District Six
Q1230446	Wenden Voivodeship		Wenden Voivodeship
Q1232277	Djurgårdsbron	bridge between Östermalm and Djurgården in Stockholm, Sweden	Djurgårdsbron
Q1233430	Dobrinka, Lipetsk Oblast		Dobrinka, Lipetsk Oblast
Q1233509	Heilbron	town in the Free State, South Africa	Heilbron
Q1233549	Dobrovolsk		Dobrovolsk
Q1234961	Doire	former French department in Italy (1802-1814)	Doire
Q1235762	Kapelludden lighthouse		Kapelludden lighthouse
Q1236650	Gothenburg Cathedral	cathedral in Gothenburg, Sweden	Gothenburg Cathedral
Q1236653	Härnösand Cathedral	cathedral in Härnösand, Sweden	Härnösand Cathedral
Q1236657	Kalevala, Russia		Kalevala, Russia
Q1236659	Linköping Cathedral	cathedral in Linköping, Sweden	Linköping Cathedral
Q1236665	Kalmar Cathedral	cathedral in Kalmar, Sweden	Kalmar Cathedral
Q1236679	Mariestad Cathedral	former cathedral in Mariestad, Sweden	Mariestad Cathedral
Q1236689	Lund Cathedral	cathedral in Lund, Sweden	Lund Cathedral
Q1236697	Strängnäs Cathedral	cathedral in Strängnäs, Sweden	Strängnäs Cathedral
Q1236708	Västerås Cathedral	cathedral in Västerås, Sweden	Västerås Cathedral
Q1236720	Växjö Cathedral	cathedral in Växjö, Sweden	Växjö Cathedral
Q1240765	Egvekinot		Egvekinot
Q1241163	Dulwich Picture Gallery	art gallery in Dulwich, South London	Dulwich Picture Gallery
Q1245075	Monmouthshire	historic county of Wales	Monmouthshire (historic)
Q1245805	Philae obelisk	obelisk found at Philae, Egypt	Philae obelisk
Q1247373	Harrow School	English independent school for boys	Harrow School
Q1249027	Peabody Museum of Archaeology and Ethnology		Peabody Museum of Archaeology and Ethnology
Q1250076	Gojra		Gojra
Q1250208	Stickeen Territories		Stickeen Territories
Q1251321	Royal Cornwall Museum		Royal Cornwall Museum
Q1252806	Mandi Bahauddin		Mandi Bahauddin
Q1256430	Thaba 'Nchu		Thaba 'Nchu
Q1257931	Dreikönigsgymnasium	oldest secondary school in Cologne	Dreikönigsgymnasium
Q1257947	Ospedale degli Innocenti	Italian museum	Ospedale degli Innocenti
Q1258370	Drents Museum		Drents Museum
Q1258421	Strossmayer Gallery of Old Masters		Strossmayer Gallery of Old Masters
Q1262667	Congregation of the Sisters of Divine Providence	religious community of Catholic sisters in Mainz, Germany	Congregation of Divine Providence, Mainz
Q1262745	Duarte Province		Duarte Province
Q1265538	Dundee, KwaZulu-Natal		Dundee, KwaZulu-Natal
Q1266330	Dunvegan Castle		Dunvegan Castle
Q1267721	Palazzo Ducale	building in Urbino, Italy	Palazzo Ducale, Urbino
Q1268811	Dyle	former French department (1795-1814)	Dyle (department)
Q1270623	Meurthe	Former department of France	Meurthe (department)
Q1270723	Scuola Grande di San Rocco		Scuola Grande di San Rocco
Q1271216	Poltava Governorate		Poltava Governorate
Q1273362	Scuola Grande di San Marco	building in Venice, Italy, originally the home to one of the six major Scuole Grandi of Venice	Scuola Grande di San Marco
Q1275240	Suntar (rural locality)		Suntar (rural locality)
Q1276962	Palazzo Schifanoia	Palace of the d'Este and museum in Ferrara	Palazzo Schifanoia
Q1277393	National Museum of Serbia		National Museum of Serbia
Q1278808	Eberhard-Ludwigs-Gymnasium		Eberhard-Ludwigs-Gymnasium
Q1280641	Hässelby Castle	mansion in Hässelby, northwestern Stockholm, Sweden	Hässelby Castle
Q1283585	Edendale, KwaZulu-Natal		Edendale, KwaZulu-Natal
Q1285902	University of Pennsylvania Museum of Archaeology and Anthropology		University of Pennsylvania Museum of Archaeology and Anthropology
Q1286799	Natural History Museum of Bern		Natural History Museum of Bern
Q1289781	Colossus of Constantine		Colossus of Constantine
Q1290313	Somerset West	town in the Western Cape, South Africa	Somerset West
Q1292442	Suomenlinna		Suomenlinna
